"InternalName","OldDisplay","NewDisplay","SkipReason","Action"
"cr137_feeamounttype","Fee Amount Type","cr137_feeamounttype",,"Renamed"
"cr137_fireengineeringsolutionreq","Fire Engineering Solution Required","cr137_fireengineeringsolutionreq",,"Renamed"
"cr137_firewaterconnectionrequire","Fire Water Connection Required","cr137_firewaterconnectionrequire",,"Renamed"
"cr137_firewaterdemand","Fire water - Demand (size of supply or flow rate)","cr137_firewaterdemand",,"Renamed"
"cr137_frequency","Frequency","cr137_frequency",,"Renamed"
"cr137_gasappliancesinstallation","Gas Appliances Installation","cr137_gasappliancesinstallation",,"Renamed"
"cr137_greasetrapsorinterceptorsp","Grease Traps / Interceptors Provided","cr137_greasetrapsorinterceptorsp",,"Renamed"
"cr137_hazardousmaterialstoragede","Details of any fuel, toxic and hazardous material storage during construction or site operation have been provided","cr137_hazardousmaterialstoragede",,"Renamed"
"cr137_heavyplantload","Heavy plant - Load","cr137_heavyplantload",,"Renamed"
"cr137_heavyplantlocation","Heavy plant - Location","cr137_heavyplantlocation",,"Renamed"
"cr137_heavyplanttype","Heavy plant - Plant","cr137_heavyplanttype",,"Renamed"
"cr137_heavyplantuseduringconstru","Heavy Plant Use During Construction","cr137_heavyplantuseduringconstru",,"Renamed"
"cr137_hotworksincluded","Hot Works Included","cr137_hotworksincluded",,"Renamed"
"cr137_importingfillmaterial","Importing Fill Material","cr137_importingfillmaterial",,"Renamed"
"cr137_internallightingdetailspro","Internal Lighting Details Provided","cr137_internallightingdetailspro",,"Renamed"
"cr137_landscapedrawing","Electronic copy of Drawings / Plans - Landscape","cr137_landscapedrawing",,"Renamed"
"cr137_landscapingcompliance","Landscaping Compliance (Master Plan / Guidelines)","cr137_landscapingcompliance",,"Renamed"
"cr137_landscapingincluded","Landscaping Included","cr137_landscapingincluded",,"Renamed"
"cr137_licencedetails","Licence Details","cr137_licencedetails",,"Renamed"
"cr137_masterplanreference","Masterplan","cr137_masterplanreference",,"Renamed"
"cr137_maximumexcavationdepth","Maximum depth","cr137_maximumexcavationdepth",,"Renamed"
"cr137_mdpdetails","MDP (as applicable)","cr137_mdpdetails",,"Renamed"
"cr137_meternumber","Number","cr137_meternumber",,"Renamed"
"cr137_meterprovided","Meter Provided (Electrical Supply)","cr137_meterprovided",,"Renamed"
"cr137_meterprovidedforconnection","Meter Provided (Connection)","cr137_meterprovidedforconnection",,"Renamed"
"cr137_newpenetrationslocation","New penetrations - Location","cr137_newpenetrationslocation",,"Renamed"
"cr137_newpenetrationsmaterial","New penetrations - Material","cr137_newpenetrationsmaterial",,"Renamed"
"cr137_newpenetrationsrequired","New Penetrations Required","cr137_newpenetrationsrequired",,"Renamed"
"cr137_newpenetrationssize","New penetrations - Size","cr137_newpenetrationssize",,"Renamed"
"cr137_newundergroundconduitprovi","New Underground Conduit Provided","cr137_newundergroundconduitprovi",,"Renamed"
"cr137_otherdrawings","Electronic copy of Drawings / Plans - Other","cr137_otherdrawings",,"Renamed"
"cr137_otherdrawingtype","Other drawing / plan type","cr137_otherdrawingtype",,"Renamed"
"cr137_ownercontactperson","Contact Person","cr137_ownercontactperson",,"Renamed"
"cr137_owneremail","Email","cr137_owneremail",,"Renamed"
"cr137_ownerfacsimile","Facsimile","cr137_ownerfacsimile",,"Renamed"
"cr137_ownername","Name","cr137_ownername",,"Renamed"
"cr137_ownerpostaladdress","Postal Address","cr137_ownerpostaladdress",,"Renamed"
"cr137_ownertelephone","Telephone","cr137_ownertelephone",,"Renamed"
"cr137_permanentequipmentaddition","Permanent Equipment Addition","cr137_permanentequipmentaddition",,"Renamed"
"cr137_permanentequipmentload","Permanent equipment - Load","cr137_permanentequipmentload",,"Renamed"
"cr137_permanentequipmentlocation","Permanent equipment - Location","cr137_permanentequipmentlocation",,"Renamed"
"cr137_portaluser","Portal User","cr137_portaluser",,"Renamed"
"cr137_potentialradiointerference","Potential Radio Interference","cr137_potentialradiointerference",,"Renamed"
"cr137_proposedconstructionhours","Proposed hours of construction activity","cr137_proposedconstructionhours",,"Renamed"
"cr137_rainwaterharvestingmethoda","Method and capacity of rainwater harvesting has been provided","cr137_rainwaterharvestingmethoda",,"Renamed"
"cr137_recycledwaterconnectionreq","Recycled Water Connection Required","cr137_recycledwaterconnectionreq",,"Renamed"
"cr137_recycledwaterdemand","Recycled water - Demand (size of supply or flow rate)","cr137_recycledwaterdemand",,"Renamed"
"cr137_recycledwatermeterprovided","Recycled Water Meter Provided","cr137_recycledwatermeterprovided",,"Renamed"
"cr137_scheduleofworks","Schedule of Works","cr137_scheduleofworks",,"Renamed"
"cr137_scopeofworks","Scope of Works","cr137_scopeofworks",,"Renamed"
"cr137_sectionjbuildingcodecompli","Section J Building Code Compliance","cr137_sectionjbuildingcodecompli",,"Renamed"
"cr137_securitydesigndetails","Details of fencing, security in design, bollards, CCTV, access control, etc, provided","cr137_securitydesigndetails",,"Renamed"
"cr137_securityrestrictedarea","Security Restricted Area","cr137_securityrestrictedarea",,"Renamed"
"cr137_serviceconnectionpointside","Service Connection Points Identified","cr137_serviceconnectionpointside",,"Renamed"
"cr137_servicesdrawing","Electronic copy of Drawings / Plans - Services","cr137_servicesdrawing",,"Renamed"
"cr137_sewerageconnectionrequired","Sewerage Connection Required","cr137_sewerageconnectionrequired",,"Renamed"
"cr137_seweragedemand","Sewerage - Demand (size of supply or flow rate)","cr137_seweragedemand",,"Renamed"
"cr137_signaturedate","1/Date","cr137_signaturedate",,"Renamed"
"cr137_sitearea","Site area","cr137_sitearea",,"Renamed"
"cr137_siteplandrawing","Electronic copy of Drawings / Plans - Site plan","cr137_siteplandrawing",,"Renamed"
"cr137_specifications","Specifications","cr137_specifications",,"Renamed"
"cr137_staffnumber","No. staff to be located at this development","cr137_staffnumber",,"Renamed"
"cr137_sterilearea","Sterile Area","cr137_sterilearea",,"Renamed"
"cr137_structuraldrawing","Electronic copy of Drawings / Plans - Structural","cr137_structuraldrawing",,"Renamed"
"cr137_supportingdocuments","Supporting Documents","cr137_supportingdocuments",,"Renamed"
"cr137_surveyinformationdrawing","Electronic copy of Drawings / Plans - Survey information","cr137_surveyinformationdrawing",,"Renamed"
"cr137_sustainabilitymeasuresdeta","Details of all measures incorporated to demonstrate sustainability initiatives provided","cr137_sustainabilitymeasuresdeta",,"Renamed"
"cr137_telecommunicationrequireme","Telecommunication Requirements Provided","cr137_telecommunicationrequireme",,"Renamed"
"cr137_totalpowerdemand","Total Power Demand","cr137_totalpowerdemand",,"Renamed"
"cr137_tradewasteformprovided","Trade Waste Form Provided","cr137_tradewasteformprovided",,"Renamed"
"cr137_trafficmanagementplan","Traffic Management Plan","cr137_trafficmanagementplan",,"Renamed"
"cr137_transmissionpower","Transmission Power","cr137_transmissionpower",,"Renamed"
"cr137_treeremovalinvolved","Tree Removal Involved","cr137_treeremovalinvolved",,"Renamed"
"cr137_ventilationequipmentdischa","Ventilation equipment - Discharge rate(s)","cr137_ventilationequipmentdischa",,"Renamed"
"cr137_ventilationequipmentinstal","Ventilation Equipment Installation","cr137_ventilationequipmentinstal",,"Renamed"
"cr137_ventilationequipmentlocati","Ventilation equipment - Location","cr137_ventilationequipmentlocati",,"Renamed"
"cr137_wastemanagementdetails","Details of waste management during construction and after construction have been provided","cr137_wastemanagementdetails",,"Renamed"
"cr137_wasteskiporcompactorlocati","Proposed location of waste skips or compactor units provided","cr137_wasteskiporcompactorlocati",,"Renamed"
"cr137_workdescription","Description of Works","cr137_workdescription",,"Renamed"
"cr137_workhealthandsafetydocumen","Work, Health and Safety documentation","cr137_workhealthandsafetydocumen",,"Renamed"
"cr137_worklocation","Location of Works","cr137_worklocation",,"Renamed"
"cr137_workpurpose","Purpose of Works","cr137_workpurpose",,"Renamed"
"createdby","Created By","createdby",,"Renamed"
"createdon","Created On","createdon",,"Renamed"
"createdonbehalfby","Created By (Delegate)","createdonbehalfby",,"Renamed"
"exchangerate","Exchange Rate","exchangerate",,"Renamed"
"importsequencenumber","Import Sequence Number","importsequencenumber",,"Renamed"
"modifiedby","Modified By","modifiedby",,"Renamed"
"modifiedon","Modified On","modifiedon",,"Renamed"
"modifiedonbehalfby","Modified By (Delegate)","modifiedonbehalfby",,"Renamed"
"overriddencreatedon","Record Created On","overriddencreatedon",,"Renamed"
"ownerid","Owner","ownerid",,"Renamed"
"owningbusinessunit","Owning Business Unit","owningbusinessunit",,"Renamed"
"owningteam","Owning Team","owningteam",,"Renamed"
"owninguser","Owning User","owninguser",,"Renamed"
"statecode","Status","statecode",,"Renamed"
"statuscode","Status Reason","statuscode",,"Renamed"
"timezoneruleversionnumber","Time Zone Rule Version Number","timezoneruleversionnumber",,"Renamed"
"transactioncurrencyid","Currency","transactioncurrencyid",,"Renamed"
"utcconversiontimezonecode","UTC Conversion Time Zone Code","utcconversiontimezonecode",,"Renamed"
"versionnumber","Version Number","versionnumber",,"Renamed"
"DataverseRowId","Dataverse Row ID","DataverseRowId",,"Renamed"
"ID","ID","ID","Protected SharePoint column","Skipped"
